Country name,year,Life Ladder,Log GDP per capita,Social support
Albania,2020,5.365,9.492,0.71
Albania,2021,5.255,9.583,0.702
Albania,2022,5.212,9.626,0.724
Argentina,2020,5.901,9.888,0.897
Argentina,2021,5.908,9.977,0.882
Argentina,2022,6.261,10.011,0.893
Australia,2020,7.137,10.794,0.937
Australia,2021,7.112,10.815,0.92
Australia,2022,7.035,10.854,0.942
Austria,2020,7.213,10.859,0.925
Austria,2021,7.08,10.899,0.863
Austria,2022,6.999,10.939,0.876
Bangladesh,2020,5.28,8.629,0.739
Bangladesh,2021,4.123,8.685,0.485
Bangladesh,2022,3.408,8.743,0.404
Belgium,2020,6.839,10.799,0.904
Belgium,2021,6.882,10.854,0.915
Belgium,2022,6.857,10.878,0.923
Benin,2020,4.408,8.067,0.507
Benin,2021,4.493,8.108,0.436
Benin,2022,4.217,8.137,0.366
Bolivia,2020,5.559,8.946,0.805
Bolivia,2021,5.569,8.994,0.798
Bolivia,2022,5.929,9.014,0.824
Brazil,2020,6.11,9.548,0.831
Brazil,2021,6.01,9.588,0.814
Brazil,2022,6.257,9.611,0.866
Bulgaria,2020,5.598,10.021,0.916
Bulgaria,2021,5.422,10.102,0.884
Bulgaria,2022,5.378,10.138,0.953
Cambodia,2020,4.377,8.361,0.724
Cambodia,2021,4.555,8.379,0.713
Cambodia,2022,4.25,8.415,0.784
Cameroon,2020,5.241,8.207,0.72
Cameroon,2021,4.963,8.216,0.695
Cameroon,2022,4.712,8.227,0.629
Canada,2020,7.025,10.738,0.931
Canada,2021,6.939,10.777,0.926
Canada,2022,6.918,10.803,0.929
Chile,2020,6.151,10.044,0.888
Chile,2021,6.436,10.144,0.891
Chile,2022,6.415,10.154,0.887
Colombia,2020,5.709,9.502,0.797
Colombia,2021,5.29,9.592,0.793
Colombia,2022,5.892,9.66,0.877
Congo (Brazzaville),2020,5.079,8.127,0.597
Congo (Brazzaville),2021,4.921,8.082,0.568
Congo (Brazzaville),2022,5.805,8.077,0.646
Costa Rica,2020,6.338,9.895,0.834
Costa Rica,2021,6.408,9.962,0.876
Costa Rica,2022,7.077,9.998,0.902
Croatia,2020,6.508,10.202,0.923
Croatia,2021,6.287,10.362,0.918
Croatia,2022,5.579,10.458,0.91
Cyprus,2020,6.26,10.583,0.806
Cyprus,2021,6.269,10.638,0.855
Cyprus,2022,5.865,8.127,0.82
Czechia,2020,6.897,10.562,0.964
Czechia,2021,6.942,10.615,0.95
Czechia,2022,6.695,10.656,0.944
