,Country name,year,stringency_index,facial_coverings,cancel_public_events,Life Ladder
0,Albania,2020,66.97555556,1,2,5.365
1,Albania,2021,48.38083333,4,1,5.255
2,Albania,2022,22.53166667,2,0,5.212
3,Argentina,2020,88.88777778,3,2,5.901
4,Argentina,2021,67.01916667,3,2,5.908
5,Argentina,2022,20.38416667,1,0,6.261
6,Australia,2020,58.33363636,0,2,7.137
7,Australia,2021,64.97083333,3,2,7.112
8,Australia,2022,25.53666667,2,0,7.035
9,Austria,2020,51.943,2,2,7.213
10,Austria,2021,63.22166667,3,2,7.08
11,Austria,2022,40.02833333,2,1,6.999
12,Bangladesh,2020,79.42222222,4,2,5.28
13,Bangladesh,2021,68.47916667,4,2,4.123
14,Bangladesh,2022,19.67666667,4,0,3.408
15,Belgium,2020,58.055,3,2,6.839
16,Belgium,2021,50.35166667,3,1,6.882
17,Belgium,2022,16.61083333,2,0,6.857
18,Benin,2020,49.28,3,1,4.408
19,Benin,2021,40.70333333,4,2,4.493
20,Benin,2022,19.98916667,2,0,4.217
21,Bolivia,2020,83.64111111,3,2,5.559
22,Bolivia,2021,34.64416667,4,0,5.569
23,Bolivia,2022,25.82916667,4,1,5.929
24,Brazil,2020,64.028,4,2,6.11
25,Brazil,2021,60.42166667,4,2,6.01
26,Brazil,2022,29.16583333,2,0,6.257
27,Bulgaria,2020,49.79555556,2,1,5.598
28,Bulgaria,2021,46.82833333,3,2,5.422
29,Bulgaria,2022,20.6425,0,0,5.378
30,Cambodia,2020,44.61181818,1,0,4.377
31,Cambodia,2021,73.02166667,3,2,4.555
32,Cambodia,2022,22.225,2,0,4.25
33,Cameroon,2020,54.32333333,3,2,5.241
34,Cameroon,2021,30.94166667,3,1,4.963
35,Cameroon,2022,22.68666667,3,1,4.712
36,Canada,2020,57.45090909,3,2,7.025
37,Canada,2021,70.71083333,3,2,6.939
38,Canada,2022,27.51666667,2,0,6.918
39,Chile,2020,74.122,2,2,6.151
40,Chile,2021,65.92583333,3,2,6.436
41,Chile,2022,24.61416667,2,1,6.415
42,Colombia,2020,78.70555556,4,2,5.709
43,Colombia,2021,61.09583333,3,2,5.29
44,Colombia,2022,28.09,3,0,5.892
45,Costa Rica,2020,65.68888889,0,2,6.338
46,Costa Rica,2021,57.67916667,3,2,6.408
47,Costa Rica,2022,19.07666667,2,0,7.077
48,Croatia,2020,48.89,0,1,6.508
49,Croatia,2021,41.32083333,3,1,6.287
50,Croatia,2022,17.745,2,0,5.579
51,Cyprus,2020,66.04777778,0,2,6.26
52,Cyprus,2021,60.19583333,3,1,6.269
53,Cyprus,2022,25.67916667,3,0,5.865
54,Czechia,2020,51.59444444,3,1,6.897
55,Czechia,2021,57.59916667,2,1,6.942
56,Czechia,2022,19.47333333,1,0,6.695
57,Denmark,2020,51.667,0,1,7.515
58,Denmark,2021,46.3575,2,2,7.699
59,Denmark,2022,13.06083333,0,0,7.545
60,Dominican Republic,2020,80.34777778,3,2,5.168
61,Dominican Republic,2021,61.42083333,3,2,6.031
62,Dominican Republic,2022,12.92833333,0,0,5.518
63,Ecuador,2020,73.30333333,3,2,5.354
64,Ecuador,2021,60.6625,3,2,5.435
65,Ecuador,2022,26.59583333,2,0,5.887
66,Egypt,2020,68.612,3,2,4.472
67,Egypt,2021,44.555,3,2,4.026
68,Egypt,2022,26.6675,3,0,4.024
69,El Salvador,2020,77.36555556,3,2,5.462
70,El Salvador,2021,34.1825,4,1,6.431
71,El Salvador,2022,26.94,4,0,6.492
72,Estonia,2020,40.465,1,1,6.453
73,Estonia,2021,39.37833333,2,1,6.554
74,Estonia,2022,23.2375,1,0,6.357
75,Finland,2020,39.26909091,0,1,7.889
76,Finland,2021,42.32333333,1,1,7.794
77,Finland,2022,16.42083333,1,0,7.729
78,France,2020,58.12272727,4,2,6.714
79,France,2021,53.92083333,4,1,6.656
80,France,2022,20.75833333,2,0,6.614
81,Gabon,2020,76.02888889,3,2,4.887
82,Gabon,2021,62.80833333,3,2,5.075
83,Gabon,2022,20.6125,2,0,5.14
84,Georgia,2020,66.019,2,2,5.123
85,Georgia,2021,55.09083333,3,2,4.911
86,Georgia,2022,16.66833333,2,0,5.293
87,Germany,2020,54.79818182,2,2,7.312
88,Germany,2021,62.3975,2,2,6.755
89,Germany,2022,22.08833333,2,0,6.608
90,Ghana,2020,54.01222222,4,2,5.319
91,Ghana,2021,42.36,4,2,4.378
92,Ghana,2022,43.2575,1,2,4.191
93,Greece,2020,59.119,2,2,5.788
94,Greece,2021,72.9875,4,1,6.104
95,Greece,2022,32.1475,2,1,5.9
96,Guinea,2020,68.31222222,4,2,4.972
97,Guinea,2021,60.0,3,2,4.945
98,Guinea,2022,45.3175,3,2,5.317
99,Hungary,2020,57.40555556,2,2,6.038
100,Hungary,2021,49.57833333,2,1,6.227
101,Hungary,2022,11.33583333,2,0,5.861
102,Iceland,2020,43.981,0,2,7.575
103,Iceland,2021,39.73833333,2,1,7.565
104,Iceland,2022,15.17666667,0,0,7.449
105,India,2020,68.64545455,4,2,4.224
106,India,2021,67.15083333,4,2,3.558
107,India,2022,42.43666667,3,0,3.93
108,Indonesia,2020,64.71333333,4,2,4.828
109,Indonesia,2021,68.86916667,4,2,5.433
110,Indonesia,2022,41.805,2,0,5.585
111,Iran,2020,53.75,0,2,4.865
112,Iran,2021,73.9975,3,2,4.788
113,Iran,2022,56.585,2,2,4.977
114,Ireland,2020,64.165,0,2,7.035
115,Ireland,2021,61.60583333,3,1,6.828
116,Ireland,2022,13.60083333,1,0,6.87
117,Israel,2020,61.574,3,2,7.195
118,Israel,2021,52.66666667,2,1,7.578
119,Israel,2022,21.18,2,0,7.662
120,Italy,2020,68.47545455,4,2,6.488
121,Italy,2021,64.29666667,4,2,6.467
122,Italy,2022,27.65916667,2,0,6.258
123,Jamaica,2020,78.60111111,3,2,5.425
124,Jamaica,2021,73.30166667,3,2,5.814
125,Jamaica,2022,26.90833333,0,0,5.87
126,Japan,2020,33.16545455,1,1,6.118
127,Japan,2021,48.68666667,1,1,6.091
128,Japan,2022,40.20583333,1,1,6.178
129,Jordan,2020,73.45666667,0,2,4.094
130,Jordan,2021,50.54,2,1,3.909
131,Jordan,2022,16.20333333,2,0,4.356
132,Kazakhstan,2020,79.32333333,3,2,6.168
133,Kazakhstan,2021,66.975,3,2,6.26
134,Kazakhstan,2022,26.545,1,0,6.006
135,Kenya,2020,72.01777778,3,2,4.547
136,Kenya,2021,57.0375,4,2,4.465
137,Kenya,2022,42.40916667,1,2,4.448
138,Kosovo,2020,71.60555556,0,2,6.294
139,Kosovo,2021,52.08333333,3,1,6.648
140,Kosovo,2022,38.24083333,1,2,6.16
141,Kyrgyzstan,2020,74.12444444,3,2,6.25
142,Kyrgyzstan,2021,47.53,2,2,5.564
143,Kyrgyzstan,2022,31.01666667,2,2,5.668
144,Latvia,2020,49.69111111,2,0,6.229
145,Latvia,2021,50.35333333,3,2,6.353
